initial,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
merge,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spawn,4,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0
merge,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
spawn,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
merge,8,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0
spawn,8,0,0,0,2,0,0,0,0,0,0,2,2,0,0,0
merge,8,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0
spawn,8,0,0,2,4,0,0,0,0,0,2,0,0,0,0,0
merge,8,2,0,0,4,0,0,0,2,0,0,0,0,0,0,0
spawn,8,2,0,2,4,0,0,0,2,0,0,0,0,0,0,0
merge,8,4,0,0,4,0,0,0,2,0,0,0,0,0,0,0
spawn,8,4,0,4,4,0,0,0,2,0,0,0,0,0,0,0
merge,8,8,0,0,4,0,0,0,2,0,0,0,0,0,0,0
spawn,8,8,2,0,4,0,0,0,2,0,0,0,0,0,0,0
merge,16,2,0,0,4,0,0,0,2,0,0,0,0,0,0,0
spawn,16,2,0,0,4,0,0,0,2,0,0,0,0,0,2,0
merge,16,2,0,0,4,0,0,0,2,0,0,0,2,0,0,0
spawn,16,2,0,0,4,0,0,0,2,0,2,0,2,0,0,0
merge,16,2,2,0,4,0,0,0,4,0,0,0,0,0,0,0
spawn,16,2,2,0,4,0,0,0,4,0,0,0,2,0,0,0
merge,16,2,2,0,8,0,0,0,2,0,0,0,0,0,0,0
spawn,16,2,2,4,8,0,0,0,2,0,0,0,0,0,0,0
merge,16,4,4,0,8,0,0,0,2,0,0,0,0,0,0,0
spawn,16,4,4,0,8,0,0,0,2,0,0,0,0,0,0,2
merge,16,8,0,0,8,0,0,0,2,0,0,0,2,0,0,0
spawn,16,8,0,0,8,0,0,0,2,0,0,0,2,0,2,0
merge,16,8,2,0,8,0,0,0,4,0,0,0,0,0,0,0
spawn,16,8,2,0,8,0,4,0,4,0,0,0,0,0,0,0
merge,16,8,2,0,8,4,0,0,4,0,0,0,0,0,0,0
spawn,16,8,2,0,8,4,2,0,4,0,0,0,0,0,0,0
merge,16,8,4,0,8,4,0,0,4,0,0,0,0,0,0,0
spawn,16,8,4,0,8,4,2,0,4,0,0,0,0,0,0,0
invalid,16,8,4,0,8,4,2,0,4,0,0,0,0,0,0,0
invalid,16,8,4,0,8,4,2,0,4,0,0,0,0,0,0,0
invalid,16,8,4,0,8,4,2,0,4,0,0,0,0,0,0,0
merge,0,0,0,0,16,0,0,0,8,8,4,0,4,4,2,0
spawn,0,0,2,0,16,0,0,0,8,8,4,0,4,4,2,0
merge,16,8,2,0,8,4,4,0,4,0,2,0,0,0,0,0
spawn,16,8,2,0,8,4,4,0,4,0,2,0,4,0,0,0
merge,16,8,2,0,8,8,0,0,4,2,0,0,4,0,0,0
spawn,16,8,2,0,8,8,0,0,4,2,4,0,4,0,0,0
merge,16,16,2,0,8,2,4,0,8,0,0,0,0,0,0,0
spawn,16,16,2,0,8,2,4,0,8,2,0,0,0,0,0,0
